Layer,Name,GEOID,Longitude,Latitude,HCSOHS_2016-2018,HCSOHS_2015-2017,HCSOHS_2014-2016,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSOHSP_2014-2016
Community area,Rogers Park,1,-87.670171,42.00963,47100,37900,37000,77,75.5,78.6
Community area,Norwood Park,10,-87.803451,41.985248,29800,29000,28400,92.1,91.2,87.5
Community area,Jefferson Park,11,-87.771165,41.978836,20500,21200,19900,89.2,87.3,86
Community area,Forest Glen,12,-87.758358,41.993938,11900,11900,11500,83.7,81.8,80.7
Community area,North Park,13,-87.723578,41.983651,13900,13800,18200,93.5,96.1,97.5
Community area,Albany Park,14,-87.721558,41.968078,31900,29300,29100,76.4,71.3,72.2
Community area,Portage Park,15,-87.763401,41.954043,50600,49700,43500,86.6,84.1,82.9
Community area,Irving Park,16,-87.723457,41.953589,34600,33200,31900,82.5,83.9,86.1
Community area,Dunning,17,-87.806015,41.946522,26800,23300,22000,86.2,85.2,81.8
Community area,Montclare,18,-87.798033,41.929306,8500,5100,6200,85,66.8,72.1
Community area,Belmont Cragin,19,-87.765502,41.927275,39900,35400,41900,75.6,73.2,76.6
Community area,West Ridge,2,-87.695017,42.001583,50900,52700,53600,84.2,87.9,88.8
Community area,Hermosa,20,-87.734741,41.924353,13100,12000,14800,82.4,80.8,83.3
Community area,Avondale,21,-87.711219,41.938673,26700,24300,23200,77.7,73.9,76.9
Community area,Logan Square,22,-87.699149,41.922768,51600,52300,53400,81.1,84.9,86.8
Community area,Humboldt Park,23,-87.720917,41.90008,26800,27900,28500,66.2,72.5,71.1
Community area,West Town,24,-87.676358,41.901216,58300,57000,55800,88.5,85.1,81.5
Community area,Austin,25,-87.763117,41.894113,54600,50200,50600,77,71.9,71.9
Community area,West Garfield Park,26,-87.730233,41.878602,9000,9500,9700,61.7,67.7,79
Community area,East Garfield Park,27,-87.705892,41.878923,8600,8900,9200,71.2,77.2,74.2
Community area,Near West Side,28,-87.663513,41.874016,48000,46400,44000,87.9,90.3,88.3
Community area,North Lawndale,29,-87.717218,41.860197,20000,19700,19700,82.1,84.3,85.4
Community area,Uptown,3,-87.655899,41.965822,33700,30600,32500,86.3,84.6,88.2
Community area,South Lawndale,30,-87.714,41.839091,38900,40900,38000,75,77,72.8
Community area,Lower West Side,31,-87.66757,41.850277,15900,13100,13700,81.2,77.3,75.1
Community area,Loop,32,-87.625194,41.878881,36300,33200,29500,92.3,93.9,95.4
Community area,Near South Side,33,-87.620344,41.857196,22100,19100,23900,94.6,91.6,90.6
