Layer,Name,GEOID,Longitude,Latitude,HCSDIA_2016-2018,HCSDIA_2015-2017,HCSDIA_2014-2016,HCSDIAP_2016-2018,HCSDIAP_2015-2017,HCSDIAP_2014-2016,HCSHYT_2016-2018,HCSHYT_2015-2017,HCSHYT_2014-2016,HCSHYTP_2016-2018,HCSHYTP_2015-2017,HCSHYTP_2014-2016,HCSOB_2016-2018,HCSOB_2015-2017,HCSOB_2014-2016,HCSOBP_2016-2018,HCSOBP_2015-2017,HCSOBP_2014-2016
Community area,Rogers Park,1,-87.670171,42.00963,6900,5100,5100,11.2,10.2,10.8,15800,12800,13800,26.5,27.1,32,20500,16900,15900,33.5,33.7,33.8
Community area,Norwood Park,10,-87.803451,41.985248,3000,2500,2500,9.3,7.9,7.6,10000,6800,7700,30.7,21.2,23.3,9000,6600,6500,27.9,20.9,20.1
Community area,Jefferson Park,11,-87.771165,41.978836,2300,2800,3000,9.8,11.3,13,5900,7100,8100,29.3,31.9,38.1,4900,4400,3200,20.8,17.8,13.7
Community area,Forest Glen,12,-87.758358,41.993938,,,,,,,3000,2400,1600,24,18.3,12.7,2900,2400,3000,20.3,16.7,21.1
Community area,North Park,13,-87.723578,41.983651,2600,1500,,17.3,10.2,,5700,2600,3300,40.3,19.5,17.6,6000,2700,5000,39.9,18.8,26.8
Community area,Albany Park,14,-87.721558,41.968078,5100,4200,3000,12.1,10.1,7.4,10700,8100,9200,26.6,20.2,23.8,12500,9900,11200,29.5,23.9,27.4
Community area,Portage Park,15,-87.763401,41.954043,5100,4700,4400,8.7,7.9,8.3,14600,14500,9700,27.7,26.7,20.8,21200,20500,16200,36.3,34.7,30.9
Community area,Irving Park,16,-87.723457,41.953589,4100,3200,3600,9.7,8,9.9,12100,8800,7300,29.4,22.8,20.5,13300,11400,8100,31.4,28.6,21.8
Community area,Dunning,17,-87.806015,41.946522,2500,3200,3000,8.2,11.5,11.1,6800,7100,7200,21.2,25.7,26.4,9800,8300,9400,31.5,30.3,34.9
Community area,Montclare,18,-87.798033,41.929306,,,,,,,2500,2700,2600,27.4,41,33,4100,3400,3900,41.6,43.7,45.9
Community area,Belmont Cragin,19,-87.765502,41.927275,5700,4700,3200,10.9,9.6,5.8,14600,13800,11400,27.2,27.9,20,13700,15900,16500,25.9,32.4,29.9
Community area,West Ridge,2,-87.695017,42.001583,6800,6800,5600,11.3,11.2,9.3,15900,16400,14900,29.7,30.3,27.8,14600,14500,14900,24.2,24,24.6
Community area,Hermosa,20,-87.734741,41.924353,1300,1400,,8.2,9.2,,4900,2500,4200,36.2,18.6,25.4,7300,6500,8500,45.2,42.9,47.4
Community area,Avondale,21,-87.711219,41.938673,4100,5400,3500,12.1,16.4,11.6,12000,11200,5300,37,35,18.2,14400,13400,11900,42,40.8,39.6
Community area,Logan Square,22,-87.699149,41.922768,6500,5300,4300,10.2,8.6,7,15500,14000,11100,26.5,24.9,19.8,14700,13700,11600,22.9,22,18.7
Community area,Humboldt Park,23,-87.720917,41.90008,5200,5000,5000,12.8,12.9,12.4,8500,7600,8600,23.2,21.6,23.1,13600,13700,16500,33.5,35.4,41
Community area,West Town,24,-87.676358,41.901216,4700,2800,3900,7,4.2,5.8,14200,14200,16200,23.1,22.6,25.6,14300,12600,12300,21.5,18.7,17.9
Community area,Austin,25,-87.763117,41.894113,8800,10100,9600,12.4,14.4,13.7,24600,22300,23700,39.2,35.8,38.1,27500,27500,26100,38.4,38.9,36.8
Community area,West Garfield Park,26,-87.730233,41.878602,2400,1800,1100,16.1,13.2,9,4900,4600,3700,34.5,33.5,31.2,7100,6300,5900,48.4,44.6,47.6
Community area,East Garfield Park,27,-87.705892,41.878923,1300,1000,1300,10.9,8.1,10.2,2800,3000,3300,25.6,28.1,28.5,5300,3900,5100,43.5,33.4,40.8
Community area,Near West Side,28,-87.663513,41.874016,3800,3100,4100,7,6.1,8.3,11200,11900,11200,20.6,23.8,24,13200,10200,10900,24.1,19.8,21.9
Community area,North Lawndale,29,-87.717218,41.860197,2200,3100,3300,9,13.2,14.3,7000,7900,7700,29.7,34.9,34.8,10800,10900,11300,44.1,46.8,49.1
Community area,Uptown,3,-87.655899,41.965822,2100,2300,2500,5.4,6.1,6.6,10600,9700,7700,28,27.2,21.5,7900,7800,7000,20,20.9,18.8
Community area,South Lawndale,30,-87.714,41.839091,6300,8400,7400,12.2,15.8,14.3,9700,9000,7200,20.5,18.5,14.8,21500,22600,17900,41.5,42.5,34.3
Community area,Lower West Side,31,-87.66757,41.850277,2300,2200,2900,11.6,13.2,16.1,2900,4300,4700,17.7,31.2,31,3900,4100,5100,19.9,24.2,27.9
Community area,Loop,32,-87.625194,41.878881,,,,,,,6500,6200,6100,16.5,17.3,20.3,2700,3700,6300,6.7,10.4,20.4
Community area,Near South Side,33,-87.620344,41.857196,,,2100,,,7.9,4500,5100,5800,20.5,26,22.6,3000,2000,3900,13,9.7,14.9
Community area,Douglas,35,-87.61868,41.835122,600,,800,3.8,,6,3900,3000,4100,28.2,22,34.8,3900,3600,3000,26.2,24.7,22.8
