Layer,Name,GEOID,Longitude,Latitude,HCSPA_2016-2018,HCSPA_2015-2017,HCSPA_2014-2016,HCSPAP_2016-2018,HCSPAP_2015-2017,HCSPAP_2014-2016,HCSS_2016-2018,HCSS_2015-2017,HCSSP_2016-2018,HCSSP_2015-2017,HCSFVP_2016-2018,HCSFVP_2015-2017,HCSFVP_2014-2016,HCSFV_2016-2018,HCSFV_2015-2017,HCSFV_2014-2016
Community area,Rogers Park,1,-87.670171,42.00963,15200,12700,6900,24.9,25.6,14.9,10000,10700,16.5,21.3,37.3,34.2,32.1,22000,16100,13900
Community area,Norwood Park,10,-87.803451,41.985248,5100,5200,4500,15.8,16.3,13.9,2200,3100,6.7,9.6,19.9,30.6,28.7,6500,9600,9100
Community area,Jefferson Park,11,-87.771165,41.978836,6100,6600,5600,26,26.4,24,5700,4900,24.4,19.7,31.2,24.2,22.2,6400,5500,4700
Community area,Forest Glen,12,-87.758358,41.993938,3500,3800,3500,24.6,26,24.5,2400,2400,17.5,16.7,40.4,42.2,38.9,5000,5500,4900
Community area,North Park,13,-87.723578,41.983651,3400,3100,3700,23,21.4,19.9,2400,3300,15.9,22.9,30.8,39.2,37.2,4300,5300,6900
Community area,Albany Park,14,-87.721558,41.968078,9500,9100,9400,22.6,21.9,22.9,10100,8800,24.9,21.2,29.1,26,26.7,11400,10400,10300
Community area,Portage Park,15,-87.763401,41.954043,15700,14000,11800,26.9,24,22.8,11300,11900,19.6,20.1,34.4,34.1,29.4,18100,18600,13800
Community area,Irving Park,16,-87.723457,41.953589,12600,9600,7500,29.9,24.2,20.3,8100,7300,19.1,18.3,27.5,25.3,28.7,11300,9800,10300
Community area,Dunning,17,-87.806015,41.946522,7200,5100,5800,23.2,18.8,21.5,9800,5400,31.5,19.7,17.7,27.6,31.1,5700,7600,8500
Community area,Montclare,18,-87.798033,41.929306,3700,1800,1800,37,23.2,21.1,2100,1800,21.2,23.2,33.1,,,3000,,
Community area,Belmont Cragin,19,-87.765502,41.927275,17300,13900,17100,32.8,28.5,31,12900,15100,24.8,31,18.9,18.4,14.3,10200,9200,8100
Community area,West Ridge,2,-87.695017,42.001583,15900,15200,13200,26.3,25.3,21.9,9900,11200,17,18.5,23.6,27.4,27.2,12700,14600,14400
Community area,Hermosa,20,-87.734741,41.924353,5800,5700,7000,36,37.7,39.3,5000,6400,33,42.4,25.7,28.5,24.8,3800,3900,4200
Community area,Avondale,21,-87.711219,41.938673,8800,9200,7200,25.6,28,23.7,5000,5800,14.7,17.7,27.3,28.3,28.1,9100,9100,8100
Community area,Logan Square,22,-87.699149,41.922768,12000,11700,11500,18.7,18.8,18.6,11400,10400,18.1,16.8,36.9,40.2,39.5,21700,22700,22200
Community area,Humboldt Park,23,-87.720917,41.90008,16200,12500,12400,39.8,32.5,30.9,13200,13600,33,35.3,13.9,18.2,25.2,5100,6300,9200
Community area,West Town,24,-87.676358,41.901216,8700,9200,10600,13.1,13.6,15.4,13100,12900,19.7,19.1,30.4,30.7,26,18600,19100,16400
Community area,Austin,25,-87.763117,41.894113,25000,22000,20600,34.9,31.2,29.1,25600,25600,35.9,36.3,17.3,20.3,17.1,11000,12900,10700
Community area,West Garfield Park,26,-87.730233,41.878602,5800,4400,2500,39.7,31.2,20.2,6500,5400,47.3,38.4,23.1,20.5,,3200,2800,
Community area,East Garfield Park,27,-87.705892,41.878923,4800,5500,,39.1,47,,3600,5100,30.1,43.4,25.2,17.2,,2800,1800,
Community area,Near West Side,28,-87.663513,41.874016,9100,9600,10600,16.6,18.6,21.3,10300,11800,19.1,23.1,27.7,30.1,32.7,14900,15200,15600
Community area,North Lawndale,29,-87.717218,41.860197,6200,5500,5700,25.2,23.5,24.6,10500,10300,44,44.1,15,21.2,22.2,3500,4800,4900
Community area,Uptown,3,-87.655899,41.965822,7900,4900,3900,20,13.1,10.3,7300,7200,18.8,19.3,30,32.2,36.7,11400,11400,12900
Community area,South Lawndale,30,-87.714,41.839091,16600,15200,12500,32,28.6,23.9,15300,14400,30,27.1,14.1,14.6,19.3,6800,7000,9100
Community area,Lower West Side,31,-87.66757,41.850277,4700,5800,4900,24.2,34.1,26.8,5000,5300,25.4,31.2,37.6,35.6,36.9,6300,4900,5600
Community area,Loop,32,-87.625194,41.878881,4700,4500,5800,12,12.8,18.8,7400,5600,18.8,15.9,34.2,35.5,43.1,13600,12600,13000
Community area,Near South Side,33,-87.620344,41.857196,3100,1600,1500,13.3,7.7,5.7,2700,3000,11.9,14.6,25.5,37.8,30.6,5300,7000,7600
Community area,Armour Square,34,-87.633976,41.842083,2500,1900,,54.5,29.7,,,,,,,,,,,
