Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
Community area,Rogers Park,1,-87.670171,42.00963,0.77483055,0.785922779,0.787225017,31684.98936,29913.44048,29865.85132,28622.14595,27719.54681,27675.37522,27707.8546,42406.18702,41801.01869,42769.32001,40943.29673,42017.66081,42342.87387,42930.0764,21031.29759,20105.06976,19369.70547,19447.38252,18761.46709,19818.69652,20169.93944,33015.58628,29200.20741,35048.13996,29619.09842,28868.09143,26184.65133,30868.67349,23075.21646,20307.7843,19133.32683,18345.981,16272.21374,15880.88392,15294.44536,,21.80791281,24.9258199,25.22517983,24.90534622,25.33739296,25.29242464,25.92202473
Community area,Norwood Park,10,-87.803451,41.985248,0.653203629,0.668203425,0.667081367,48624.34847,47085.4784,45905.6989,44703.41895,41171.68791,40904.74683,39964.44169,52105.64191,51924.25698,49533.71983,47646.76401,43147.75888,42744.96248,41807.53656,19994.05971,17234.70159,9551.602227,35598.47653,30788.82255,35763.95917,23434.04463,42478.57618,39188.34873,38111.41238,45608.56044,45148.53132,42852.4784,45674.68486,38568.73846,31159.15757,31704.57446,30185.78632,28311.22819,27888.37034,28029.62021,,6.599287254,6.701653074,6.001470985,5.847230717,6.398371572,6.091668974,5.799823037
Community area,Jefferson Park,11,-87.771165,41.978836,0.741401947,0.7511057,0.736035475,37503.816,37378.81873,38012.99518,40255.52291,38953.73792,36954.89528,36653.54456,42951.47632,43517.58339,43220.49365,42816.70952,40864.34626,38337.62738,37117.65749,31914.21843,35340.61774,33921.271,34786.77368,38209.41966,28992.6176,33357.6985,34410.61226,31762.83136,28345.51646,30164.11242,28619.43125,28907.51297,29879.02692,28321.23411,25916.37607,28094.49653,32078.75815,33029.00759,30913.53687,30122.97398,9683.384414,8.08497531,9.81145393,10.2150969,8.108067695,8.884331776,9.236723955,8.522733302
Community area,Forest Glen,12,-87.758358,41.993938,0.512522367,0.49967242,0.520653434,62457.171,58010.17319,55414.64903,53916.49237,54000.74135,53057.53069,50722.27381,70811.75982,65681.39115,61618.08556,59412.36519,58448.07023,56392.99007,54332.67758,26825.7987,23981.10371,22969.06319,10569.11191,37647.29044,36332.54818,25023.86865,44546.07889,40466.69852,47089.41553,46268.40484,48469.55311,47573.85885,47451.70924,34272.811,27469.21721,25311.34993,25776.55852,26011.78928,29529.51734,30827.56323,,4.051133689,4.414242405,4.39414368,4.033674419,3.585833744,3.610882719,4.345550373
Community area,North Park,13,-87.723578,41.983651,0.769450878,0.754029662,0.736645325,34159.31027,37284.87902,37313.52802,37053.3739,34039.39497,33914.8245,33102.50596,38942.41938,38741.17717,38070.6978,35553.1276,34883.48118,36071.77823,37715.21098,36538.63913,26190.88567,23025.96284,19597.57918,21031.06121,18232.42843,13360.80971,30102.71353,27858.85482,28843.38488,29982.43637,28088.32947,28313.06438,28323.97215,26718.41616,23327.90394,21464.52653,22481.0061,21140.45408,20774.89126,20045.75839,,14.74598786,11.32781701,12.2835271,11.82838248,11.96932198,12.54845109,11.47262351
Community area,Albany Park,14,-87.721558,41.968078,0.753826843,0.764828545,0.75904608,34504.17668,33104.53577,31742.65649,30249.69632,29482.36645,28101.84181,27690.51016,54239.79928,49531.18146,47227.64397,47549.74546,46206.8998,42938.18141,43010.47343,26407.72845,26351.65158,26786.06727,24188.75503,24769.41565,22938.35993,25342.85316,32877.92394,27926.59274,26707.13363,28464.88078,29307.98942,26214.76982,27741.82018,22072.72295,20756.28863,19638.16492,17855.19218,17437.86256,16804.18835,16995.34477,30970.38903,13.22354077,14.34266274,15.5395733,16.62081449,16.98433627,17.77317189,17.89628806
Community area,Portage Park,15,-87.763401,41.954043,0.759413189,0.771106919,0.786531653,35315.64232,34619.58593,32826.81136,32191.38661,30760.46099,29465.01702,28241.63049,43995.58286,42057.10552,39479.53238,38914.6907,37581.82258,35242.72507,34257.57846,33775.62983,47269.18847,41801.53253,50464.71989,50495.17025,51596.15369,20553.23147,40363.04921,47076.89854,43605.73786,37747.70518,36395.03542,34658.40586,33227.65474,25536.13346,24789.16161,23358.62159,23346.19315,21698.15021,21173.21333,20128.48644,44917.79377,7.637966757,9.399213366,11.23116065,12.24882248,13.12017084,12.84838546,14.32394991
Community area,Irving Park,16,-87.723457,41.953589,0.72920818,0.728995434,0.733542397,40988.98487,42045.97866,40595.63542,37276.1783,35665.11469,33048.60587,32735.4985,55815.30995,53958.44514,51901.95421,47250.58281,45501.68591,43132.92666,42591.06724,45495.41142,49578.69423,46499.67786,42757.56913,37556.92088,30517.5802,28046.01948,43951.74839,39331.8727,39409.27762,41068.75075,36050.9475,32893.9433,31775.59781,24992.56597,23283.95362,22674.34965,20431.9121,20697.04498,19147.19982,18553.1548,30437.97229,8.668553836,8.704218816,9.524328816,10.02855844,9.492572043,11.24522741,12.31529722
Community area,Dunning,17,-87.806015,41.946522,0.747823515,0.762954741,0.778139244,35891.5445,34459.73247,33674.68066,32339.34562,31270.64638,30590.30034,30399.42757,39416.86022,37498.47351,36873.22739,35075.80814,33669.49952,32521.88781,31756.58642,41926.9692,30757.02818,26041.02263,26790.10496,21822.24825,20008.1767,18575.62337,39669.66661,36664.95526,36760.79969,39431.94069,35487.21729,34801.77693,38980.41802,28641.72877,25600.86749,25197.47706,25499.78626,24485.13062,24978.1144,25263.29649,43489.3369,6.944517023,6.959865042,8.16378573,9.653497988,10.78090102,11.63457975,11.03276074
Community area,Montclare,18,-87.798033,41.929306,0.798774828,0.810675002,0.804126044,29920.14043,30941.0039,28788.26513,29586.00669,29492.32168,25023.47608,22515.15334,35808.57251,43778.94261,39879.03072,41813.57472,44487.75721,43891.64308,32502.66649,33955.73432,36703.39303,37477.25672,33144.17558,27215.57444,22978.95617,28066.87918,33167.41315,40710.23188,38352.63485,57925.09387,51623.13543,47269.21105,29815.93541,26093.27539,24434.7726,23342.09113,22411.37639,21925.90964,16587.97497,16747.8365,25517.60374,12.18126736,11.6889146,12.80309756,13.86928666,13.54596226,15.22813628,14.53096084
