Layer,Name,GEOID,Longitude,Latitude,LEQ_2016-2020,LEQ_2015-2019,LEQ_2014-2018,LEQ-J_2016-2020,LEQ-J_2015-2019,LEQ-J_2014-2018,LEQ-D_2016-2020,LEQ-D_2015-2019,LEQ-D_2014-2018,LEQ-S_2016-2020,LEQ-S_2015-2019,LEQ-S_2014-2018,FOR_2016-2020,FOR_2015-2019,FOR_2014-2018
Community area,Rogers Park,1,-87.670171,42.00963,6.274712092,8.147734301,9.39299413,3.637494664,7.626028996,7.711276021,6.121667915,7.900380517,9.560210228,10.0552743,12.34457788,11.78974678,26.71353879,26.31599526,27.3610331
Community area,Norwood Park,10,-87.803451,41.985248,3.188585783,3.552180379,3.062867857,0.974620403,0.656363414,0.419144447,2.306094537,2.830514067,2.284060155,7.797129791,8.304096848,8.023058295,16.84831995,19.02457891,17.10707549
Community area,Jefferson Park,11,-87.771165,41.978836,7.917544805,8.231027626,8.571163521,6.404448643,1.406201894,2.089097631,6.45116304,8.81381004,8.896497419,14.53718373,19.61822274,20.65870965,25.87656763,26.71573871,27.12551958
Community area,Forest Glen,12,-87.758358,41.993938,3.698097331,3.346369397,3.739507628,2.453019955,3.297430074,2.731218727,4.059827328,4.700596666,5.327888315,3.034627403,3.048238688,5.645492862,18.59341299,16.33855052,17.6072323
Community area,North Park,13,-87.723578,41.983651,8.794638822,8.884756862,8.053653443,1.931202545,2.928449549,3.708484356,6.271941625,7.508643491,7.5555037,20.83259719,19.37743263,19.63082812,39.46136212,35.87337088,35.79345586
Community area,Albany Park,14,-87.721558,41.968078,16.44676108,14.97967662,16.50401307,4.211835337,4.386354951,6.479271235,18.16076875,17.41433078,18.42707479,23.65228387,27.05030314,29.54774364,37.26436807,37.90152673,38.38879043
Community area,Portage Park,15,-87.763401,41.954043,10.4358062,10.6306794,11.17003023,2.645595776,2.358035242,2.157463606,9.955234176,11.17572611,11.58733768,21.71046331,21.24529962,22.25726191,32.63515282,31.89082934,31.69083047
Community area,Irving Park,16,-87.723457,41.953589,9.479202479,10.11203171,10.49975832,1.624283057,1.318355779,1.054238528,9.688550807,12.21717939,12.64042794,19.50218145,18.68895653,18.26018896,26.40219379,26.30792832,26.39131708
Community area,Dunning,17,-87.806015,41.946522,9.570559311,10.03307421,10.3183756,2.761686676,2.99657763,2.832721119,9.417651106,9.41650793,10.28572213,16.42716514,17.61961464,16.38146256,31.04306749,32.51186337,31.25837615
Community area,Montclare,18,-87.798033,41.929306,15.22708654,15.84872698,15.23748844,9.04235397,8.941636898,10.3424041,13.03601809,14.6968418,14.10880288,26.74309557,25.42416229,23.09142013,34.58662308,31.44322365,27.8243248
Community area,Belmont Cragin,19,-87.765502,41.927275,20.17239242,20.56693906,21.57079261,3.730636288,3.873750708,3.373629018,22.60213174,23.13207729,24.97036437,37.96850231,41.63350745,43.66127838,38.6315185,39.04689023,39.03009049
