Layer,Name,GEOID,Longitude,Latitude,VRCHD_2015-2019,VRCHD_2014-2018,VRCHD_2013-2017,VRCHD_2012-2016,VRCHD_2011-2015,VRCHD_2010-2014,VRCHDR_2015-2019,VRCHDR_2014-2018,VRCHDR_2013-2017,VRCHDR_2012-2016,VRCHDR_2011-2015,VRCHDR_2010-2014,VRDIA_2015-2019,VRDIA_2014-2018,VRDIA_2013-2017,VRDIA_2012-2016,VRDIA_2011-2015,VRDIA_2010-2014,VRDIAR_2015-2019,VRDIAR_2014-2018,VRDIAR_2013-2017,VRDIAR_2012-2016,VRDIAR_2011-2015,VRDIAR_2010-2014,VRDIB_2015-2019,VRDIB_2014-2018,VRDIB_2013-2017,VRDIB_2012-2016,VRDIB_2011-2015,VRDIB_2010-2014,VRDIBR_2015-2019,VRDIBR_2014-2018,VRDIBR_2013-2017,VRDIBR_2012-2016,VRDIBR_2011-2015,VRDIBR_2010-2014,VRHD_2015-2019,VRHD_2014-2018,VRHD_2013-2017,VRHD_2012-2016,VRHD_2011-2015,VRHD_2010-2014,VRHDR_2015-2019,VRHDR_2014-2018,VRHDR_2013-2017,VRHDR_2012-2016,VRHDR_2011-2015,VRHDR_2010-2014
Community area,Rogers Park,1,-87.670171,42.00963,301,302,192,260,334,324,161.1,161,101.5,135.2,174.1,171,57,68,45,54,60,62,29.3,35.5,23.9,28.9,32.4,34.3,149,163,100,128,148,138,78.6,86.7,52.6,68,79.7,76,515,497,295,399,492,469,268.6,259.1,154.7,206.1,255.4,246.2
Community area,Norwood Park,10,-87.803451,41.985248,341,385,387,423,462,473,120.9,137.6,103.5,113.1,125.3,129.5,51,56,61,69,65,64,18.1,19.9,18.4,21.8,21,20.3,136,143,156,170,171,172,48.2,50.9,46.1,51.5,52.2,52.4,601,624,633,681,728,726,213.7,222.2,163.9,176.7,191.6,195.2
Community area,Jefferson Park,11,-87.771165,41.978836,157,160,164,171,170,182,105.8,108,99.6,103.8,102.5,108.5,17,16,18,25,30,27,11,10.4,11.9,16.8,19.7,17.9,58,61,72,81,89,78,37.9,40.6,46.2,52.1,56.6,49.2,292,290,300,302,292,294,195.5,194.3,181.1,182.5,174.2,175
Community area,Forest Glen,12,-87.758358,41.993938,96,85,85,94,100,106,78.3,69.4,64.1,71.3,75.9,81.2,7,9,13,16,18,22,5.6,7.2,9.5,12,13.3,16.4,34,34,38,46,46,46,27.5,27.7,29.1,35.1,34.8,35,187,182,179,189,191,194,151.6,147.7,134.6,142.4,144.3,148.2
Community area,North Park,13,-87.723578,41.983651,94,95,99,101,95,108,75,75.6,71.8,73.7,68.3,77,35,33,28,32,30,28,27.4,25.8,20.9,25,24.1,22.5,79,75,71,73,71,77,62.2,59.4,52.4,55.5,55.2,59,182,180,180,168,162,173,145,143.7,131.9,123.2,116.7,124.2
Community area,Albany Park,14,-87.721558,41.968078,154,169,171,179,190,193,90.2,98.3,94.8,99.6,106,107.1,40,45,47,53,50,53,23.5,26,26.3,29.7,28.1,29.5,115,119,130,140,134,129,67.2,69.5,74.3,80.7,77.9,74.1,293,314,307,298,299,290,167.6,180.1,169.3,165.4,166.1,160.2
Community area,Portage Park,15,-87.763401,41.954043,334,341,366,383,421,428,113.9,115.8,118.1,123.9,136.3,139.2,74,75,73,68,67,59,24.2,25.1,24.7,22.9,22.9,19.8,144,147,150,147,145,147,47.3,48.3,50.4,48.7,48.4,48.4,571,575,590,603,641,642,193.5,193.7,188.1,193.1,206,207.7
Community area,Irving Park,16,-87.723457,41.953589,172,195,212,245,257,261,88.8,100.2,112.3,127.2,132.2,133.4,53,48,45,46,41,40,25,22.6,21.3,21.6,19.5,19.5,105,107,100,110,110,121,50.8,51.8,49.2,54.7,55,61,342,365,374,397,402,392,171.9,183.2,194.7,205.8,206.6,199.4
Community area,Dunning,17,-87.806015,41.946522,323,342,347,356,380,387,127.6,134.8,122.7,125.3,133,136.8,42,38,46,44,53,53,16.2,14.7,16.9,16.4,19.3,19.4,121,123,146,136,152,146,47.3,47.9,54.1,50.1,55.8,54.1,559,565,557,554,571,548,220.9,223.2,196.8,196.1,201.1,194.1
Community area,Montclare,18,-87.798033,41.929306,120,120,111,111,116,106,175.4,175,146,149.6,154.5,140.2,14,14,17,16,17,22,20.9,20.8,24.5,21.7,23.3,30.3,40,45,45,47,51,53,59,66,64,66.6,73,75.2,190,182,172,169,177,158,277.4,265.8,228.4,226.1,235.2,208.8
Community area,Belmont Cragin,19,-87.765502,41.927275,310,314,303,299,316,333,120.6,121.7,121.4,118.7,125.6,133.5,71,61,62,64,62,54,27.5,23.9,25.5,26.2,25.2,22.8,162,147,152,160,163,157,61.1,55.9,60.6,64.8,66.8,65.5,522,506,493,478,475,488,201.3,194.9,197.3,191.4,189.4,194.9
Community area,West Ridge,2,-87.695017,42.001583,355,375,257,359,445,444,104.7,111,71,98.3,121.3,120,103,96,56,75,88,85,29.7,27.4,15.8,21,24.5,23.4,214,208,132,184,235,225,61.9,60.1,36.8,51.4,65,62.3,632,644,417,567,712,696,185.6,190,112.8,152.8,192.1,186.9
Community area,Hermosa,20,-87.734741,41.924353,60,59,60,60,65,63,84.7,83.9,96,90.9,95.5,92.3,16,14,17,18,15,17,18.8,18.7,23.9,25.3,22,24,48,41,44,47,46,45,61.2,54.5,63.2,64.4,63.5,61.8,127,115,111,105,110,99,173,159.5,172.1,155.3,159.6,144.3
Community area,Avondale,21,-87.711219,41.938673,114,120,128,133,137,147,87.5,91.8,102.6,104.2,107,117.4,26,24,26,26,25,24,20.5,18.8,20.9,21,20.2,19.6,63,57,70,69,67,65,47.6,41.8,52.9,53.6,52.2,51.9,208,216,227,236,239,242,159.6,163.5,178.9,182.8,185.2,191.6
Community area,Logan Square,22,-87.699149,41.922768,164,176,185,209,221,235,85.1,92,103.5,118.4,126.1,133.8,53,64,66,70,76,68,27.5,33.6,35.3,38.2,40.9,34.8,137,153,162,168,177,170,70.7,80.5,87.9,92,95.7,92.4,293,301,310,330,339,355,148.1,153.8,170.1,184,189.6,199.6
Community area,Humboldt Park,23,-87.720917,41.90008,223,225,212,237,244,239,116,117.9,134.3,147.8,156,150,62,59,52,44,49,60,32.4,30.6,29,23.3,26.3,33.8,164,166,164,167,176,189,85,84.5,94.2,93,97,105.5,447,441,410,431,435,411,226.7,223.7,245,256.7,265.5,246
Community area,West Town,24,-87.676358,41.901216,224,247,263,273,274,282,103.9,115,121.7,126.3,125.7,128.3,44,42,44,51,60,74,19.2,18.2,19.3,22.5,27.2,32.6,140,143,149,160,171,185,62.6,64,67.9,72.9,78.3,83.7,409,429,437,440,440,432,184,194.7,197.6,199.4,199.5,195
