Layer,Name,GEOID,Longitude,Latitude,VRLE_2020,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,VRLE_2014,POP_2016-2020,POP_2015-2019,POP_2014-2018,POP_2013-2017,POP_2012-2016,POP_2011-2015,POP_2010-2014,POP-M_2016-2020,POP-F_2016-2020,POP-W_2016-2020,POP-W_2015-2019,POP-W_2014-2018,POP-W_2013-2017,POP-W_2012-2016,POP-W_2011-2015,POP-B_2016-2020,POP-B_2015-2019,POP-B_2014-2018,POP-B_2013-2017,POP-B_2012-2016,POP-B_2011-2015,POP-A_2016-2020,POP-A_2015-2019,POP-A_2014-2018,POP-A_2013-2017,POP-A_2012-2016,POP-A_2011-2015,POP-H_2016-2020,POP-H_2015-2019,POP-H_2014-2018,POP-H_2013-2017,POP-H_2012-2016,POP-H_2011-2015,POP-P_2016-2020,POP-P_2015-2019,POP-Q_2016-2020,POP-Q_2015-2019
Community area,Rogers Park,1,-87.670171,42.00963,73.54342173,75.60914296,75.13292486,75.0986,75.2831,75.4,76.2,52735.3487,52553.20678,51985.01521,52041.01371,52380.80592,51605.18878,52402.39378,25697.48314,27037.86556,22719.08119,22518.64503,22232.91921,21856.98361,21604.33416,20874.49537,14483.39608,14854.64876,14068.22077,14078.08051,14119.09741,13347.55652,2907.538445,2606.703541,2823.167445,2648.833173,3064.734519,3341.113551,10292.77503,10658.69131,11125.30282,11848.05971,12144.77363,12893.57978,30.01741917,30.96952533,1824.909262,1714.423636
Community area,Norwood Park,10,-87.803451,41.985248,79.05938328,80.67354408,81.34222222,80.9651,81.2056,80.5,80.3,41327.33263,38676.02969,37905.75011,37676.31509,36742.12603,36831.71843,37233.67549,19848.47062,21478.86202,32295.37243,29986.13125,30303.28113,30740.86846,30269.69918,29810.84394,288.5673218,382.413516,297.512379,184.96018,210.710305,383.770923,1770.575822,1644.414952,1377.250432,1267.385199,1226.775829,1548.881308,5917.319075,5744.488776,5095.953832,4408.675441,4265.998543,4336.018208,32.80819439,40.67771363,817.014281,769.0997286
Community area,Jefferson Park,11,-87.771165,41.978836,79.25676758,80.76975216,80.66629315,79.8778,80.0532,79.2,79.8,27178.20421,27475.35983,27961.49763,26781.34315,26727.31718,27230.80187,26943.54591,13344.00003,13834.20418,15827.95466,17045.67728,17146.71917,17508.30853,17141.38452,17742.34535,713.450418,313.277909,323.246282,246.441451,273.556388,249.769679,3192.586335,2631.083124,2899.17314,2501.870207,2623.083616,2458.984289,6620.163031,6797.345658,6900.439974,5938.983982,6115.546932,6206.788211,28.99660239,60.99297732,769.0549598,613.5971271
Community area,Forest Glen,12,-87.758358,41.993938,81.87570861,83.1913665,82.86192603,82.9067,82.1399,82,83.1,19908.47651,19361.55814,19069.82678,18977.16124,18611.97681,18423.44797,18462.48496,9657.428847,10251.04767,14690.54939,13602.00928,13243.36791,13408.83375,13633.00233,13223.7762,111.9904814,231.681086,215.53353,188.080942,169.058573,177.305537,2040.343673,2080.407972,2338.338483,2396.452902,1982.599517,2468.329367,2631.829396,2934.047923,2870.714166,2614.620435,2442.49454,2211.237265,0.090276991,0.136333319,433.5195644,523.584039
Community area,North Park,13,-87.723578,41.983651,79.48985185,81.60838803,81.91422278,81.1375,82.6033,83.6,81.7,18763.5523,18896.62848,18434.723,18823.89033,18728.70517,18423.24529,18043.31517,8661.151378,10102.40092,9152.137977,9125.429576,9678.350574,9789.633847,9645.126347,9359.566368,421.8308296,525.358802,568.312286,735.608859,601.846852,653.727152,4926.012092,4773.646361,4543.668744,4695.310243,5140.266346,4564.103088,3511.659611,3795.373566,2968.202114,3143.16232,3081.979534,3614.567909,6.996505025,68.99023672,628.8548486,460.4133962
Community area,Albany Park,14,-87.721558,41.968078,77.95511729,80.31388755,79.22461047,79.4268,79.4931,80.4,80.3,49438.25315,49941.76563,50474.74665,52123.08576,51701.42415,52208.54271,53052.35197,25015.94261,24422.31054,16668.68636,16126.04397,16214.49645,15687.44205,15009.61555,15428.57861,2522.349803,2727.468058,2733.392012,2582.403385,2515.539303,2295.722473,6211.05001,7512.364477,7284.864319,7630.152742,7972.897142,8303.633337,22696.79007,22414.17224,22996.49455,24940.45581,24904.4083,25021.92877,0.001315712,11.00135683,1291.389368,1390.30505
Community area,Portage Park,15,-87.763401,41.954043,78.13269521,80.61657437,80.85013908,80.1099,80.029,79.5,80.1,63936.26162,64579.12902,64936.44788,64289.22338,64499.03972,64823.83147,64404.81751,30996.2516,32940.01002,30052.70425,30290.50091,31832.08705,32325.81781,31774.99505,32638.91632,1048.519488,1127.910507,1096.848464,1080.681248,1011.739526,947.017208,3800.965826,3607.148403,3666.04969,3307.290206,2989.568187,2981.497772,27176.37778,27983.32567,26974.99565,26193.18525,27552.37022,27087.30821,106.0336718,123.0209441,1304.705194,1374.975559
Community area,Irving Park,16,-87.723457,41.953589,78.09453858,79.27299468,79.51555799,79.7732,79.3258,79.6,80,53573.61431,53468.35356,53601.7094,54541.44682,55354.00159,56454.90006,56426.67582,26267.63995,27305.97437,23569.38412,22872.09553,23008.26073,22755.49918,22943.22108,22616.47415,1465.197775,1912.934213,1745.622452,1635.135618,1697.74258,1488.81373,4609.928148,4613.525033,4510.9108,4869.189667,4667.311117,4690.157191,22052.46397,22403.37307,22620.52423,23680.60137,24711.75949,26337.0466,60.94236012,52.95508525,1690.712905,1778.174774
Community area,Dunning,17,-87.806015,41.946522,78.57491785,79.80971971,79.51904778,79.739,79.4437,80.1,80.6,43559.47772,43400.97756,43990.58126,43644.33366,43399.79144,42981.77837,43010.32368,21463.34256,22096.13516,26007.96255,27051.66084,27131.32987,28135.30848,27832.72818,28310.87953,908.9365582,1008.042803,1213.50373,938.465284,964.321007,1068.594921,2207.398983,2593.98689,2604.767475,2243.114876,1797.877881,1845.795015,13999.46028,12842.49405,13091.2315,12232.77628,12547.36432,11437.97876,0.004548728,0.009197683,422.699896,267.8225942
Community area,Montclare,18,-87.798033,41.929306,75.77216222,77.09737294,77.73628895,78.301,76.9961,77.1,79.1,14391.69046,14305.19501,13851.24733,13824.26975,13034.14003,13014.08902,12881.82266,6713.755872,7677.934591,5209.624018,4504.450563,4155.081485,4533.807627,4049.602672,3633.730389,453.0429818,393.251001,487.88285,558.165781,658.102012,686.467813,364.9478294,459.224157,455.69346,445.940453,520.504315,612.450225,8005.113398,8565.617028,8480.129192,8078.978486,7599.45778,8104.562129,69.94584054,83.97148573,259.0555611,265.4837711
