Layer,Name,GEOID,Longitude,Latitude,HCSOHS_2016-2018,HCSOHS_2015-2017,HCSOHS_2014-2016,HCSOHSP_2016-2018,HCSOHSP_2015-2017,HCSOHSP_2014-2016
,,,,,"Overall health status - excellent, very good, good (count of adults), 2016-2018","Overall health status - excellent, very good, good (count of adults), 2015-2017","Overall health status - excellent, very good, good (count of adults), 2014-2016","Overall health status - excellent, very good, good rate (% of adults), 2016-2018","Overall health status - excellent, very good, good rate (% of adults), 2015-2017","Overall health status - excellent, very good, good rate (% of adults), 2014-2016"
Community area,Rogers Park,1,-87.67017100,42.00963000,47100.0,37900.0,37000.0,77.0,75.5,78.6
Community area,Norwood Park,10,-87.80345100,41.98524800,29800.0,29000.0,28400.0,92.1,91.2,87.5
Community area,Jefferson Park,11,-87.77116500,41.97883600,20500.0,21200.0,19900.0,89.2,87.3,86.0
Community area,Forest Glen,12,-87.75835800,41.99393800,11900.0,11900.0,11500.0,83.7,81.8,80.7
Community area,North Park,13,-87.72357800,41.98365100,13900.0,13800.0,18200.0,93.5,96.1,97.5
Community area,Albany Park,14,-87.72155800,41.96807800,31900.0,29300.0,29100.0,76.4,71.3,72.2
Community area,Portage Park,15,-87.76340100,41.95404300,50600.0,49700.0,43500.0,86.6,84.1,82.9
Community area,Irving Park,16,-87.72345700,41.95358900,34600.0,33200.0,31900.0,82.5,83.9,86.1
Community area,Dunning,17,-87.80601500,41.94652200,26800.0,23300.0,22000.0,86.2,85.2,81.8
Community area,Montclare,18,-87.79803300,41.92930600,8500.0,5100.0,6200.0,85.0,66.8,72.1
Community area,Belmont Cragin,19,-87.76550200,41.92727500,39900.0,35400.0,41900.0,75.6,73.2,76.6
Community area,West Ridge,2,-87.69501700,42.00158300,50900.0,52700.0,53600.0,84.2,87.9,88.8
Community area,Hermosa,20,-87.73474100,41.92435300,13100.0,12000.0,14800.0,82.4,80.8,83.3
Community area,Avondale,21,-87.71121900,41.93867300,26700.0,24300.0,23200.0,77.7,73.9,76.9
Community area,Logan Square,22,-87.69914900,41.92276800,51600.0,52300.0,53400.0,81.1,84.9,86.8
Community area,Humboldt Park,23,-87.72091700,41.90008000,26800.0,27900.0,28500.0,66.2,72.5,71.1
Community area,West Town,24,-87.67635800,41.90121600,58300.0,57000.0,55800.0,88.5,85.1,81.5
Community area,Austin,25,-87.76311700,41.89411300,54600.0,50200.0,50600.0,77.0,71.9,71.9
Community area,West Garfield Park,26,-87.73023300,41.87860200,9000.0,9500.0,9700.0,61.7,67.7,79.0
Community area,East Garfield Park,27,-87.70589200,41.87892300,8600.0,8900.0,9200.0,71.2,77.2,74.2
Community area,Near West Side,28,-87.66351300,41.87401600,48000.0,46400.0,44000.0,87.9,90.3,88.3
Community area,North Lawndale,29,-87.71721800,41.86019700,20000.0,19700.0,19700.0,82.1,84.3,85.4
Community area,Uptown,3,-87.65589900,41.96582200,33700.0,30600.0,32500.0,86.3,84.6,88.2
Community area,South Lawndale,30,-87.71400000,41.83909100,38900.0,40900.0,38000.0,75.0,77.0,72.8
Community area,Lower West Side,31,-87.66757000,41.85027700,15900.0,13100.0,13700.0,81.2,77.3,75.1
Community area,Loop,32,-87.62519400,41.87888100,36300.0,33200.0,29500.0,92.3,93.9,95.4
Community area,Near South Side,33,-87.62034400,41.85719600,22100.0,19100.0,23900.0,94.6,91.6,90.6
Community area,Armour Square,34,-87.63397600,41.84208300,2600.0,5300.0,5200.0,56.7,84.7,92.3
Community area,Douglas,35,-87.61868000,41.83512200,11500.0,11800.0,10200.0,77.7,82.1,77.6
Community area,Oakland,36,-87.60321700,41.82375400,2400.0,,,68.2,,
Community area,Fuller Park,37,-87.63242700,41.80908200,4100.0,3400.0,4600.0,62.0,67.6,79.2
Community area,Grand Boulevard,38,-87.61786000,41.81294700,14100.0,15400.0,16200.0,84.9,85.2,85.0
Community area,Kenwood,39,-87.59618600,41.80891800,12100.0,13300.0,11900.0,87.6,83.8,87.4
Community area,Lincoln Square,4,-87.68751300,41.97518200,28000.0,27400.0,29000.0,84.5,84.2,88.1
Community area,Washington Park,40,-87.61793600,41.79235600,4300.0,2900.0,4500.0,60.9,64.9,85.5
Community area,Hyde Park,41,-87.59230500,41.79408800,28800.0,25600.0,28600.0,91.7,91.4,93.8
Community area,Woodlawn,42,-87.59492400,41.77887700,12500.0,12000.0,13000.0,77.7,79.5,78.5
Community area,South Shore,43,-87.57279000,41.76158300,28000.0,30800.0,30800.0,79.7,82.0,82.5
Community area,Chatham,44,-87.61596500,41.74020600,25700.0,23500.0,23100.0,84.2,85.1,82.5
Community area,Avalon Park,45,-87.58634700,41.74419700,7600.0,6200.0,4400.0,73.3,67.9,60.6
Community area,South Chicago,46,-87.55143500,41.74124300,13300.0,16000.0,16800.0,76.6,83.3,77.4
Community area,Burnside,47,-87.59647000,41.72818100,1400.0,2400.0,2800.0,58.9,81.8,84.5
Community area,Calumet Heights,48,-87.57272000,41.72967300,7900.0,6100.0,7900.0,77.0,78.1,87.1
Community area,Roseland,49,-87.62336600,41.70658800,24200.0,19800.0,19900.0,75.4,71.9,75.9
Community area,North Center,5,-87.68383900,41.94781100,21900.0,18000.0,18300.0,83.4,89.1,91.9
Community area,Pullman,50,-87.59825200,41.70613100,4900.0,3400.0,3200.0,87.9,82.4,70.4
Community area,South Deering,51,-87.57005800,41.69063900,13500.0,11600.0,10000.0,82.5,83.3,82.0
Community area,East Side,52,-87.53490700,41.70730600,11400.0,11800.0,11500.0,78.3,74.7,70.1
Community area,West Pullman,53,-87.63574500,41.67382000,16000.0,19000.0,19700.0,70.6,81.4,89.0
Community area,Riverdale,54,-87.60284900,41.66013700,2800.0,4700.0,6800.0,90.5,81.8,81.2
Community area,Hegewisch,55,-87.55680300,41.66818800,5300.0,4600.0,2900.0,57.5,57.8,54.6
Community area,Garfield Ridge,56,-87.76424600,41.79618500,18900.0,20900.0,18900.0,81.1,83.2,74.2
Community area,Archer Heights,57,-87.72636500,41.81087300,5300.0,4700.0,7200.0,71.5,62.6,71.9
Community area,Brighton Park,58,-87.69885900,41.81736400,26900.0,25300.0,24100.0,81.6,81.5,82.6
Community area,McKinley Park,59,-87.67250000,41.82992700,10400.0,12700.0,13400.0,88.5,87.2,84.9
Community area,Lake View,6,-87.65600100,41.94423600,74100.0,72100.0,78300.0,90.5,88.9,90.3
Community area,Bridgeport,60,-87.64878400,41.83615100,19100.0,14900.0,13900.0,75.9,67.9,66.5
Community area,New City,61,-87.65917100,41.80901700,21800.0,21000.0,22800.0,67.6,67.9,74.6
Community area,West Elsdon,62,-87.72421300,41.79297700,11100.0,10200.0,9200.0,82.9,94.9,88.0
Community area,Gage Park,63,-87.69643300,41.79542900,20000.0,18700.0,19500.0,70.9,68.2,68.4
Community area,Clearing,64,-87.76851700,41.77958200,16600.0,18100.0,16500.0,78.0,79.2,78.7
Community area,West Lawn,65,-87.72692700,41.76977400,17400.0,12900.0,15200.0,74.2,68.5,72.0
Community area,Chicago Lawn,66,-87.69566700,41.77184900,32100.0,33600.0,34000.0,74.1,78.6,81.2
Community area,West Englewood,67,-87.66659800,41.77592600,16700.0,16100.0,16900.0,74.5,77.0,75.3
Community area,Englewood,68,-87.64250200,41.77720100,19500.0,19200.0,22800.0,73.5,74.5,81.6
Community area,Greater Grand Crossing,69,-87.61613900,41.76325100,15200.0,16600.0,18100.0,74.3,79.1,83.3
Community area,Lincoln Park,7,-87.64949100,41.92269600,60500.0,54800.0,51000.0,89.5,89.2,90.3
Community area,Ashburn,70,-87.70836300,41.74575600,29800.0,27500.0,23200.0,84.1,80.5,81.5
Community area,Auburn Gresham,71,-87.65630500,41.74420300,24900.0,25300.0,23000.0,78.4,82.9,80.3
Community area,Beverly,72,-87.67507200,41.71314800,17400.0,16600.0,18500.0,94.0,93.6,92.4
Community area,Washington Heights,73,-87.64889700,41.71749500,16800.0,17800.0,15000.0,86.9,85.2,77.1
Community area,Mount Greenwood,74,-87.71318900,41.69487600,9200.0,10400.0,11000.0,91.3,92.4,86.5
Community area,Morgan Park,75,-87.66906200,41.68972900,14200.0,11900.0,12300.0,85.9,83.4,74.5
Community area,O'Hare,76,-87.89369900,41.97569600,8500.0,6600.0,5800.0,96.5,83.0,76.8
Community area,Edgewater,77,-87.66341900,41.98671900,39300.0,44700.0,45200.0,87.0,89.8,85.0
Community area,Near North Side,8,-87.63331800,41.89961100,66400.0,65000.0,64600.0,89.8,91.8,89.8
Community area,Edison Park,9,-87.81378000,42.00762700,10100.0,10400.0,12400.0,93.2,95.9,96.4
