Layer,Name,GEOID,Longitude,Latitude,HCSDIA_2016-2018,HCSDIA_2015-2017,HCSDIA_2014-2016,HCSDIAP_2016-2018,HCSDIAP_2015-2017,HCSDIAP_2014-2016,HCSHYT_2016-2018,HCSHYT_2015-2017,HCSHYT_2014-2016,HCSHYTP_2016-2018,HCSHYTP_2015-2017,HCSHYTP_2014-2016,HCSOB_2016-2018,HCSOB_2015-2017,HCSOB_2014-2016,HCSOBP_2016-2018,HCSOBP_2015-2017,HCSOBP_2014-2016
,,,,,"Adult diabetes (count of adults), 2016-2018","Adult diabetes (count of adults), 2015-2017","Adult diabetes (count of adults), 2014-2016","Adult diabetes rate (% of adults), 2016-2018","Adult diabetes rate (% of adults), 2015-2017","Adult diabetes rate (% of adults), 2014-2016","Hypertension (count of adults), 2016-2018","Hypertension (count of adults), 2015-2017","Hypertension (count of adults), 2014-2016","Hypertension rate (% of adults), 2016-2018","Hypertension rate (% of adults), 2015-2017","Hypertension rate (% of adults), 2014-2016","Adult obesity (count of adults), 2016-2018","Adult obesity (count of adults), 2015-2017","Adult obesity (count of adults), 2014-2016","Adult obesity rate (% of adults), 2016-2018","Adult obesity rate (% of adults), 2015-2017","Adult obesity rate (% of adults), 2014-2016"
Community area,Rogers Park,1,-87.67017100,42.00963000,6900.0,5100.0,5100.0,11.2,10.2,10.8,15800.0,12800.0,13800.0,26.5,27.1,32.0,20500.0,16900.0,15900.0,33.5,33.7,33.8
Community area,Norwood Park,10,-87.80345100,41.98524800,3000.0,2500.0,2500.0,9.3,7.9,7.6,10000.0,6800.0,7700.0,30.7,21.2,23.3,9000.0,6600.0,6500.0,27.9,20.9,20.1
Community area,Jefferson Park,11,-87.77116500,41.97883600,2300.0,2800.0,3000.0,9.8,11.3,13.0,5900.0,7100.0,8100.0,29.3,31.9,38.1,4900.0,4400.0,3200.0,20.8,17.8,13.7
Community area,Forest Glen,12,-87.75835800,41.99393800,,,,,,,3000.0,2400.0,1600.0,24.0,18.3,12.7,2900.0,2400.0,3000.0,20.3,16.7,21.1
Community area,North Park,13,-87.72357800,41.98365100,2600.0,1500.0,,17.3,10.2,,5700.0,2600.0,3300.0,40.3,19.5,17.6,6000.0,2700.0,5000.0,39.9,18.8,26.8
Community area,Albany Park,14,-87.72155800,41.96807800,5100.0,4200.0,3000.0,12.1,10.1,7.4,10700.0,8100.0,9200.0,26.6,20.2,23.8,12500.0,9900.0,11200.0,29.5,23.9,27.4
Community area,Portage Park,15,-87.76340100,41.95404300,5100.0,4700.0,4400.0,8.7,7.9,8.3,14600.0,14500.0,9700.0,27.7,26.7,20.8,21200.0,20500.0,16200.0,36.3,34.7,30.9
Community area,Irving Park,16,-87.72345700,41.95358900,4100.0,3200.0,3600.0,9.7,8.0,9.9,12100.0,8800.0,7300.0,29.4,22.8,20.5,13300.0,11400.0,8100.0,31.4,28.6,21.8
Community area,Dunning,17,-87.80601500,41.94652200,2500.0,3200.0,3000.0,8.2,11.5,11.1,6800.0,7100.0,7200.0,21.2,25.7,26.4,9800.0,8300.0,9400.0,31.5,30.3,34.9
