Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
,,,,,"Economic Diversity Index, 2016-2020","Economic Diversity Index, 2015-2019","Economic Diversity Index, 2014-2018","Per capita income, 2016-2020","Per capita income, 2015-2019","Per capita income, 2014-2018","Per capita income, 2013-2017","Per capita income, 2012-2016","Per capita income, 2011-2015","Per capita income, 2010-2014","Per capita income, Non-Hispanic White, 2016-2020","Per capita income, Non-Hispanic White, 2015-2019","Per capita income, Non-Hispanic White, 2014-2018","Per capita income, Non-Hispanic White, 2013-2017","Per capita income, Non-Hispanic White, 2012-2016","Per capita income, Non-Hispanic White, 2011-2015","Per capita income, Non-Hispanic White, 2010-2014","Per capita income, Non-Hispanic Black, 2016-2020","Per capita income, Non-Hispanic Black, 2015-2019","Per capita income, Non-Hispanic Black, 2014-2018","Per capita income, Non-Hispanic Black, 2013-2017","Per capita income, Non-Hispanic Black, 2012-2016","Per capita income, Non-Hispanic Black, 2011-2015","Per capita income, Non-Hispanic Black, 2010-2014","Per capita income, Asian or Pacific Islander, 2016-2020","Per capita income, Asian or Pacific Islander, 2015-2019","Per capita income, Asian or Pacific Islander, 2014-2018","Per capita income, Asian or Pacific Islander, 2013-2017","Per capita income, Asian or Pacific Islander, 2012-2016","Per capita income, Asian or Pacific Islander, 2011-2015","Per capita income, Asian or Pacific Islander, 2010-2014","Per capita income, Hispanic or Latino, 2016-2020","Per capita income, Hispanic or Latino, 2015-2019","Per capita income, Hispanic or Latino, 2014-2018","Per capita income, Hispanic or Latino, 2013-2017","Per capita income, Hispanic or Latino, 2012-2016","Per capita income, Hispanic or Latino, 2011-2015","Per capita income, Hispanic or Latino, 2010-2014","Per capita income, Native American, 2016-2020","Poverty rate (% of residents), 2016-2020","Poverty rate (% of residents), 2015-2019","Poverty rate (% of residents), 2014-2018","Poverty rate (% of residents), 2013-2017","Poverty rate (% of residents), 2012-2016","Poverty rate (% of residents), 2011-2015","Poverty rate (% of residents), 2010-2014"
Community area,Rogers Park,1,-87.67017100,42.00963000,0.774830549836005,0.785922778588182,0.78722501742539,31684.9893586709,29913.4404825808,29865.8513219293,28622.1459514697,27719.5468121039,27675.3752241641,27707.8546045279,42406.1870180875,41801.0186926994,42769.3200113513,40943.2967323889,42017.6608062616,42342.8738707596,42930.0764030515,21031.2975869218,20105.0697609153,19369.7054694558,19447.3825162917,18761.4670850723,19818.6965186376,20169.9394353728,33015.5862750891,29200.2074055326,35048.1399619214,29619.098415728,28868.0914277204,26184.6513319561,30868.6734886302,23075.2164632561,20307.784297113,19133.3268273113,18345.981000641,16272.2137383341,15880.8839194637,15294.4453599295,,21.8079128050016,24.9258198983455,25.2251798257114,24.9053462201558,25.3373929639895,25.2924246412998,25.9220247306747
Community area,Norwood Park,10,-87.80345100,41.98524800,0.65320362879044,0.668203425448979,0.6670813674272,48624.3484695565,47085.4783994497,45905.6989039114,44703.4189504826,41171.6879103288,40904.7468295484,39964.4416905148,52105.6419073684,51924.2569836848,49533.7198287358,47646.7640066651,43147.7588845662,42744.9624811119,41807.5365636838,19994.0597068434,17234.701588577,9551.60222687777,35598.4765250404,30788.8225538936,35763.9591675602,23434.0446338049,42478.576176174,39188.3487276879,38111.4123817218,45608.5604365543,45148.5313224508,42852.4783999308,45674.684860207,38568.7384637738,31159.1575709731,31704.5744571746,30185.7863191792,28311.228189459,27888.3703425512,28029.6202136972,,6.5992872538726,6.70165307442226,6.0014709853161,5.84723071718973,6.39837157150922,6.09166897371701,5.79982303693119
Community area,Jefferson Park,11,-87.77116500,41.97883600,0.741401946766705,0.75110569955204,0.736035474782144,37503.8160013563,37378.8187327013,38012.9951816056,40255.5229145698,38953.7379239226,36954.8952844608,36653.5445577092,42951.4763199725,43517.5833862743,43220.493651145,42816.7095157068,40864.3462570108,38337.6273834493,37117.6574859887,31914.2184339547,35340.6177429782,33921.2709953801,34786.7736829609,38209.4196559512,28992.6175975111,33357.6985043297,34410.6122575377,31762.8313568557,28345.5164649977,30164.1124241021,28619.431245367,28907.5129731408,29879.0269248358,28321.2341143434,25916.3760651196,28094.496525976,32078.7581466021,33029.007587817,30913.53687449,30122.9739810412,9683.3844140287,8.08497530974293,9.81145392962761,10.2150969028454,8.10806769480292,8.88433177592871,9.23672395516709,8.52273330197924
Community area,Forest Glen,12,-87.75835800,41.99393800,0.512522366831932,0.499672420053979,0.52065343376543,62457.1710027858,58010.1731861339,55414.6490273997,53916.4923695058,54000.7413500676,53057.5306934397,50722.2738136322,70811.7598217524,65681.3911466832,61618.0855615152,59412.3651920793,58448.0702275107,56392.990066009,54332.6775807334,26825.7987010182,23981.1037102388,22969.0631889407,10569.1119078685,37647.2904407512,36332.5481799655,25023.8686510616,44546.0788909949,40466.6985241663,47089.4155336599,46268.4048413364,48469.5531090912,47573.8588499324,47451.7092353709,34272.8110023838,27469.217212659,25311.3499321561,25776.5585186892,26011.789281526,29529.5173406143,30827.5632318186,,4.05113368858804,4.41424240534286,4.39414367972756,4.03367441915289,3.58583374419212,3.61088271859553,4.34555037260693
Community area,North Park,13,-87.72357800,41.98365100,0.769450878096748,0.754029661715651,0.736645324706253,34159.3102703194,37284.8790155814,37313.5280247826,37053.3739042026,34039.394974012,33914.8245039047,33102.5059590378,38942.419375575,38741.1771722178,38070.697796573,35553.1276033919,34883.4811800373,36071.7782287885,37715.2109754652,36538.6391320152,26190.8856703443,23025.9628355228,19597.5791824193,21031.0612145961,18232.4284254179,13360.8097103719,30102.7135340067,27858.8548181363,28843.3848834979,29982.4363706002,28088.3294700533,28313.0643806063,28323.9721491898,26718.4161648454,23327.903939994,21464.5265321384,22481.0061023643,21140.4540845672,20774.8912555133,20045.7583921763,,14.7459878598978,11.3278170060913,12.2835271002387,11.8283824814467,11.9693219754032,12.5484510937713,11.4726235111449
Community area,Albany Park,14,-87.72155800,41.96807800,0.753826842667525,0.764828545273577,0.759046080354683,34504.1766811288,33104.5357691715,31742.6564888805,30249.6963222007,29482.366453484,28101.8418125411,27690.5101616624,54239.7992831813,49531.181458659,47227.6439714375,47549.7454623707,46206.8997959644,42938.1814080533,43010.473427336,26407.728446889,26351.6515831252,26786.0672713222,24188.7550303719,24769.4156522844,22938.3599329155,25342.8531602206,32877.9239397381,27926.5927364651,26707.1336306655,28464.8807757217,29307.9894190489,26214.7698248669,27741.8201815315,22072.7229463223,20756.2886326164,19638.1649169306,17855.1921777979,17437.8625564683,16804.1883547575,16995.3447684049,30970.3890281506,13.2235407665699,14.3426627384499,15.5395732999329,16.620814487795,16.9843362699646,17.773171891947,17.8962880595005
Community area,Portage Park,15,-87.76340100,41.95404300,0.759413188500788,0.771106918554844,0.786531653051953,35315.6423175055,34619.5859254656,32826.8113649723,32191.3866122692,30760.4609922001,29465.0170211702,28241.6304852503,43995.582857194,42057.1055244417,39479.532378969,38914.6906955515,37581.8225828273,35242.7250724769,34257.5784608563,33775.6298285229,47269.1884692304,41801.5325288364,50464.7198882985,50495.1702476955,51596.1536878934,20553.2314690809,40363.0492127413,47076.8985361197,43605.7378554828,37747.7051755839,36395.035415299,34658.405860522,33227.6547401947,25536.133459322,24789.1616085595,23358.6215862433,23346.1931460002,21698.1502059726,21173.2133321803,20128.4864364456,44917.7937701641,7.63796675725365,9.39921336647777,11.2311606508036,12.2488224830916,13.1201708430333,12.8483854645473,14.3239499085276
Community area,Irving Park,16,-87.72345700,41.95358900,0.729208180374997,0.728995434262185,0.733542396904009,40988.9848664322,42045.9786628078,40595.6354209715,37276.178296894,35665.1146934352,33048.6058743524,32735.4984979603,55815.3099519064,53958.4451351437,51901.9542065427,47250.5828088426,45501.6859060489,43132.9266603127,42591.067239037,45495.4114216477,49578.6942302995,46499.6778562198,42757.5691314453,37556.9208770747,30517.5801990787,28046.019481431,43951.7483921307,39331.8726959747,39409.2776181046,41068.7507479462,36050.9475001186,32893.943301967,31775.5978110625,24992.5659711932,23283.953617551,22674.3496487648,20431.912098784,20697.044975184,19147.1998166247,18553.1548028055,30437.9722901569,8.66855383620919,8.70421881562031,9.52432881619303,10.0285584419041,9.49257204345625,11.2452274081476,12.3152972236732
Community area,Dunning,17,-87.80601500,41.94652200,0.747823514783036,0.762954740765122,0.778139243961994,35891.5445016304,34459.732472294,33674.6806629347,32339.3456186085,31270.6463786369,30590.300342631,30399.4275727519,39416.8602201501,37498.473507306,36873.2273942676,35075.8081393504,33669.4995219518,32521.8878131079,31756.5864244909,41926.969203327,30757.0281821551,26041.0226278212,26790.1049649585,21822.2482486507,20008.1767029218,18575.6233686242,39669.6666124937,36664.9552600368,36760.7996895904,39431.9406875822,35487.2172878806,34801.7769344665,38980.4180229396,28641.7287697228,25600.8674908649,25197.4770633625,25499.7862587864,24485.1306192851,24978.1144014275,25263.2964861116,43489.3369002814,6.9445170225327,6.9598650419721,8.16378572955757,9.65349798784207,10.7809010237984,11.6345797531587,11.032760738858
