Layer,Name,GEOID,Longitude,Latitude,VRCHD_2015-2019,VRCHD_2014-2018,VRCHD_2013-2017,VRCHD_2012-2016,VRCHD_2011-2015,VRCHD_2010-2014,VRCHDR_2015-2019,VRCHDR_2014-2018,VRCHDR_2013-2017,VRCHDR_2012-2016,VRCHDR_2011-2015,VRCHDR_2010-2014,VRDIA_2015-2019,VRDIA_2014-2018,VRDIA_2013-2017,VRDIA_2012-2016,VRDIA_2011-2015,VRDIA_2010-2014,VRDIAR_2015-2019,VRDIAR_2014-2018,VRDIAR_2013-2017,VRDIAR_2012-2016,VRDIAR_2011-2015,VRDIAR_2010-2014,VRDIB_2015-2019,VRDIB_2014-2018,VRDIB_2013-2017,VRDIB_2012-2016,VRDIB_2011-2015,VRDIB_2010-2014,VRDIBR_2015-2019,VRDIBR_2014-2018,VRDIBR_2013-2017,VRDIBR_2012-2016,VRDIBR_2011-2015,VRDIBR_2010-2014,VRHD_2015-2019,VRHD_2014-2018,VRHD_2013-2017,VRHD_2012-2016,VRHD_2011-2015,VRHD_2010-2014,VRHDR_2015-2019,VRHDR_2014-2018,VRHDR_2013-2017,VRHDR_2012-2016,VRHDR_2011-2015,VRHDR_2010-2014
(Indicator name),,,,,"Coronary heart disease mortality (count of deaths), 2015-2019","Coronary heart disease mortality (count of deaths), 2014-2018","Coronary heart disease mortality (count of deaths), 2013-2017","Coronary heart disease mortality (count of deaths), 2012-2016","Coronary heart disease mortality (count of deaths), 2011-2015","Coronary heart disease mortality (count of deaths), 2010-2014","Coronary heart disease mortality rate (per 100,000 population), 2015-2019","Coronary heart disease mortality rate (per 100,000 population), 2014-2018","Coronary heart disease mortality rate (per 100,000 population), 2013-2017","Coronary heart disease mortality rate (per 100,000 population), 2012-2016","Coronary heart disease mortality rate (per 100,000 population), 2011-2015","Coronary heart disease mortality rate (per 100,000 population), 2010-2014","Diabetes mortality (count of deaths), 2015-2019","Diabetes mortality (count of deaths), 2014-2018","Diabetes mortality (count of deaths), 2013-2017","Diabetes mortality (count of deaths), 2012-2016","Diabetes mortality (count of deaths), 2011-2015","Diabetes mortality (count of deaths), 2010-2014","Diabetes mortality rate (per 100,000 population), 2015-2019","Diabetes mortality rate (per 100,000 population), 2014-2018","Diabetes mortality rate (per 100,000 population), 2013-2017","Diabetes mortality rate (per 100,000 population), 2012-2016","Diabetes mortality rate (per 100,000 population), 2011-2015","Diabetes mortality rate (per 100,000 population), 2010-2014","Diabetes-related mortality (count of deaths), 2015-2019","Diabetes-related mortality (count of deaths), 2014-2018","Diabetes-related mortality (count of deaths), 2013-2017","Diabetes-related mortality (count of deaths), 2012-2016","Diabetes-related mortality (count of deaths), 2011-2015","Diabetes-related mortality (count of deaths), 2010-2014","Diabetes-related mortality rate (per 100,000 population), 2015-2019","Diabetes-related mortality rate (per 100,000 population), 2014-2018","Diabetes-related mortality rate (per 100,000 population), 2013-2017","Diabetes-related mortality rate (per 100,000 population), 2012-2016","Diabetes-related mortality rate (per 100,000 population), 2011-2015","Diabetes-related mortality rate (per 100,000 population), 2010-2014","Heart disease mortality (count of deaths), 2015-2019","Heart disease mortality (count of deaths), 2014-2018","Heart disease mortality (count of deaths), 2013-2017","Heart disease mortality (count of deaths), 2012-2016","Heart disease mortality (count of deaths), 2011-2015","Heart disease mortality (count of deaths), 2010-2014","Heart disease mortality rate (per 100,000 population), 2015-2019","Heart disease mortality rate (per 100,000 population), 2014-2018","Heart disease mortality rate (per 100,000 population), 2013-2017","Heart disease mortality rate (per 100,000 population), 2012-2016","Heart disease mortality rate (per 100,000 population), 2011-2015","Heart disease mortality rate (per 100,000 population), 2010-2014"
(Definition),,,,,"Number of people who died due to coronary heart disease.","Number of people who died due to coronary heart disease.","Number of people who died due to coronary heart disease.","Number of people who died due to coronary heart disease.","Number of people who died due to coronary heart disease.","Number of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Age-adjusted rate of people who died due to coronary heart disease.","Number of people who died due to diabetes.","Number of people who died due to diabetes.","Number of people who died due to diabetes.","Number of people who died due to diabetes.","Number of people who died due to diabetes.","Number of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Age-adjusted rate of people who died due to diabetes.","Number of people for whom diabetes was a primary or secondary cause of death.","Number of people for whom diabetes was a primary or secondary cause of death.","Number of people for whom diabetes was a primary or secondary cause of death.","Number of people for whom diabetes was a primary or secondary cause of death.","Number of people for whom diabetes was a primary or secondary cause of death.","Number of people for whom diabetes was a primary or secondary cause of death.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Age-adjusted rate of people for whom diabetes is a primary or secondary cause.","Number of people who died due to heart disease.","Number of people who died due to heart disease.","Number of people who died due to heart disease.","Number of people who died due to heart disease.","Number of people who died due to heart disease.","Number of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease.","Age-adjusted rate of people who died due to heart disease."
(Citation),,,,,"Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,-87.67017100,42.00963000,301.0,302.0,192.0,260.0,334.0,324.0,161.1,161.0,101.5,135.2,174.1,171.0,57.0,68.0,45.0,54.0,60.0,62.0,29.3,35.5,23.9,28.9,32.4,34.3,149.0,163.0,100.0,128.0,148.0,138.0,78.6,86.7,52.6,68.0,79.7,76.0,515.0,497.0,295.0,399.0,492.0,469.0,268.6,259.1,154.7,206.1,255.4,246.2
Community area,Norwood Park,10,-87.80345100,41.98524800,341.0,385.0,387.0,423.0,462.0,473.0,120.9,137.6,103.5,113.1,125.3,129.5,51.0,56.0,61.0,69.0,65.0,64.0,18.1,19.9,18.4,21.8,21.0,20.3,136.0,143.0,156.0,170.0,171.0,172.0,48.2,50.9,46.1,51.5,52.2,52.4,601.0,624.0,633.0,681.0,728.0,726.0,213.7,222.2,163.9,176.7,191.6,195.2
Community area,Jefferson Park,11,-87.77116500,41.97883600,157.0,160.0,164.0,171.0,170.0,182.0,105.8,108.0,99.6,103.8,102.5,108.5,17.0,16.0,18.0,25.0,30.0,27.0,11.0,10.4,11.9,16.8,19.7,17.9,58.0,61.0,72.0,81.0,89.0,78.0,37.9,40.6,46.2,52.1,56.6,49.2,292.0,290.0,300.0,302.0,292.0,294.0,195.5,194.3,181.1,182.5,174.2,175.0
Community area,Forest Glen,12,-87.75835800,41.99393800,96.0,85.0,85.0,94.0,100.0,106.0,78.3,69.4,64.1,71.3,75.9,81.2,7.0,9.0,13.0,16.0,18.0,22.0,5.6,7.2,9.5,12.0,13.3,16.4,34.0,34.0,38.0,46.0,46.0,46.0,27.5,27.7,29.1,35.1,34.8,35.0,187.0,182.0,179.0,189.0,191.0,194.0,151.6,147.7,134.6,142.4,144.3,148.2
Community area,North Park,13,-87.72357800,41.98365100,94.0,95.0,99.0,101.0,95.0,108.0,75.0,75.6,71.8,73.7,68.3,77.0,35.0,33.0,28.0,32.0,30.0,28.0,27.4,25.8,20.9,25.0,24.1,22.5,79.0,75.0,71.0,73.0,71.0,77.0,62.2,59.4,52.4,55.5,55.2,59.0,182.0,180.0,180.0,168.0,162.0,173.0,145.0,143.7,131.9,123.2,116.7,124.2
Community area,Albany Park,14,-87.72155800,41.96807800,154.0,169.0,171.0,179.0,190.0,193.0,90.2,98.3,94.8,99.6,106.0,107.1,40.0,45.0,47.0,53.0,50.0,53.0,23.5,26.0,26.3,29.7,28.1,29.5,115.0,119.0,130.0,140.0,134.0,129.0,67.2,69.5,74.3,80.7,77.9,74.1,293.0,314.0,307.0,298.0,299.0,290.0,167.6,180.1,169.3,165.4,166.1,160.2
