Layer,Name,GEOID,Longitude,Latitude,VRLE_2020,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,VRLE_2014,POP_2016-2020,POP_2015-2019,POP_2014-2018,POP_2013-2017,POP_2012-2016,POP_2011-2015,POP_2010-2014,POP-M_2016-2020,POP-F_2016-2020,POP-W_2016-2020,POP-W_2015-2019,POP-W_2014-2018,POP-W_2013-2017,POP-W_2012-2016,POP-W_2011-2015,POP-B_2016-2020,POP-B_2015-2019,POP-B_2014-2018,POP-B_2013-2017,POP-B_2012-2016,POP-B_2011-2015,POP-A_2016-2020,POP-A_2015-2019,POP-A_2014-2018,POP-A_2013-2017,POP-A_2012-2016,POP-A_2011-2015,POP-H_2016-2020,POP-H_2015-2019,POP-H_2014-2018,POP-H_2013-2017,POP-H_2012-2016,POP-H_2011-2015,POP-P_2016-2020,POP-P_2015-2019,POP-Q_2016-2020,POP-Q_2015-2019
(Indicator name),,,,,"Life expectancy (years), 2020","Life expectancy (years), 2019","Life expectancy (years), 2018","Life expectancy (years), 2017","Life expectancy (years), 2016","Life expectancy (years), 2015","Life expectancy (years), 2014","Population (residents), 2016-2020","Population (residents), 2015-2019","Population (residents), 2014-2018","Population (residents), 2013-2017","Population (residents), 2012-2016","Population (residents), 2011-2015","Population (residents), 2010-2014","Population, Males (residents), 2016-2020","Population, Females (residents), 2016-2020","Population, Non-Hispanic White (residents), 2016-2020","Population, Non-Hispanic White (residents), 2015-2019","Population, Non-Hispanic White (residents), 2014-2018","Population, Non-Hispanic White (residents), 2013-2017","Population, Non-Hispanic White (residents), 2012-2016","Population, Non-Hispanic White (residents), 2011-2015","Population, Non-Hispanic Black (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2015-2019","Population, Non-Hispanic Black (residents), 2014-2018","Population, Non-Hispanic Black (residents), 2013-2017","Population, Non-Hispanic Black (residents), 2012-2016","Population, Non-Hispanic Black (residents), 2011-2015","Population, Asian or Pacific Islander (residents), 2016-2020","Population, Asian or Pacific Islander (residents), 2015-2019","Population, Asian or Pacific Islander (residents), 2014-2018","Population, Asian or Pacific Islander (residents), 2013-2017","Population, Asian or Pacific Islander (residents), 2012-2016","Population, Asian or Pacific Islander (residents), 2011-2015","Population, Hispanic or Latino (residents), 2016-2020","Population, Hispanic or Latino (residents), 2015-2019","Population, Hispanic or Latino (residents), 2014-2018","Population, Hispanic or Latino (residents), 2013-2017","Population, Hispanic or Latino (residents), 2012-2016","Population, Hispanic or Latino (residents), 2011-2015","Population, Native American (residents), 2016-2020","Population, Native American (residents), 2015-2019","Population, Two or more races (residents), 2016-2020","Population, Two or more races (residents), 2015-2019"
(Definition),,,,,"The average number of years a person may expect to live.","The average number of years a person may expect to live.","The average number of years a person may expect to live.","The average number of years a person may expect to live.","The average number of years a person may expect to live.","The average number of years a person may expect to live.","The average number of years a person may expect to live.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period.","Average population over the time period."
(Citation),,,,,"Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","Illinois Department of Public Health, Death Certificate Data Files","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)","American Community Survey (ACS: Table B01001; Decennial Census: Table P012)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,-87.67017100,42.00963000,73.543421725,75.609142959,75.13292486,75.0986,75.2831,75.4,76.2,52735.3487016581,52553.206784,51985.015213,52041.013709,52380.805918,51605.188779,52402.393783,25697.4831382335,27037.8655634246,22719.0811872758,22518.645029,22232.919205,21856.983614,21604.334155,20874.495369,14483.3960816512,14854.648758,14068.220771,14078.080512,14119.097407,13347.556516,2907.53844547335,2606.703541,2823.167445,2648.833173,3064.734519,3341.113551,10292.7750317427,10658.691305,11125.302822,11848.059714,12144.773625,12893.579781,30.0174191661086,30.969525329676,1824.9092615018,1714.42363608322
Community area,Norwood Park,10,-87.80345100,41.98524800,79.059383277,80.673544076,81.34222222,80.9651,81.2056,80.5,80.3,41327.3326334355,38676.029693,37905.750108,37676.315089,36742.126026,36831.718432,37233.675492,19848.4706164209,21478.8620170147,32295.3724304301,29986.131248,30303.281133,30740.868455,30269.699181,29810.843936,288.567321826326,382.413516,297.512379,184.96018,210.710305,383.770923,1770.57582204148,1644.414952,1377.250432,1267.385199,1226.775829,1548.881308,5917.31907520035,5744.488776,5095.953832,4408.675441,4265.998543,4336.018208,32.8081943904092,40.6777136297601,817.014281023724,769.099728563862
Community area,Jefferson Park,11,-87.77116500,41.97883600,79.256767577,80.769752164,80.66629315,79.8778,80.0532,79.2,79.8,27178.2042059809,27475.359833,27961.497632,26781.343151,26727.31718,27230.801872,26943.545907,13344.0000305313,13834.2041754496,15827.9546565216,17045.677283,17146.719173,17508.308533,17141.384517,17742.345349,713.450417980072,313.277909,323.246282,246.441451,273.556388,249.769679,3192.58633460551,2631.083124,2899.17314,2501.870207,2623.083616,2458.984289,6620.16303101907,6797.345658,6900.439974,5938.983982,6115.546932,6206.788211,28.9966023941302,60.9929773232436,769.054959762389,613.597127143582
Community area,Forest Glen,12,-87.75835800,41.99393800,81.875708612,83.1913665,82.86192603,82.9067,82.1399,82.0,83.1,19908.4765133258,19361.55814,19069.826781,18977.161242,18611.976814,18423.447965,18462.484963,9657.42884669029,10251.0476666355,14690.549394273,13602.009278,13243.36791,13408.833751,13633.002332,13223.7762,111.990481448989,231.681086,215.53353,188.080942,169.058573,177.305537,2040.34367283263,2080.407972,2338.338483,2396.452902,1982.599517,2468.329367,2631.82939622624,2934.047923,2870.714166,2614.620435,2442.49454,2211.237265,0.090276990763504,0.136333319085917,433.51956436034,523.584039006255
Community area,North Park,13,-87.72357800,41.98365100,79.489851851,81.608388028,81.91422278,81.1375,82.6033,83.6,81.7,18763.5523028291,18896.628476,18434.722999,18823.890333,18728.705165,18423.245292,18043.315169,8661.1513779101,10102.400924919,9152.13797725247,9125.429576,9678.350574,9789.633847,9645.126347,9359.566368,421.830829604756,525.358802,568.312286,735.608859,601.846852,653.727152,4926.01209151674,4773.646361,4543.668744,4695.310243,5140.266346,4564.103088,3511.65961111009,3795.373566,2968.202114,3143.16232,3081.979534,3614.567909,6.99650502490665,68.990236720451,628.854848615576,460.413396171747
Community area,Albany Park,14,-87.72155800,41.96807800,77.955117289,80.313887549,79.22461047,79.4268,79.4931,80.4,80.3,49438.2531481317,49941.765631,50474.746651,52123.085757,51701.424148,52208.542705,53052.351966,25015.94261313,24422.3105350017,16668.686356257,16126.043969,16214.496453,15687.442046,15009.615552,15428.578611,2522.34980343061,2727.468058,2733.392012,2582.403385,2515.539303,2295.722473,6211.05001021265,7512.364477,7284.864319,7630.152742,7972.897142,8303.633337,22696.7900692899,22414.172235,22996.494551,24940.45581,24904.408299,25021.928768,0.00131571170410282,11.0013568276949,1291.38936753709,1390.30505028956
