Layer,Name,GEOID,Longitude,Latitude,TRF_2020,TRF_2019,TRF_2018,TRF_2017,TRF_2016,VAC_2016-2020,VAC_2015-2019,VAC_2014-2018,VAC_2013-2017,VAC_2012-2016,VAC_2011-2015,VAC_2010-2014
,,,,,"Traffic intensity (distance-weighted vehicles), 2020","Traffic intensity (distance-weighted vehicles), 2019","Traffic intensity (distance-weighted vehicles), 2018","Traffic intensity (distance-weighted vehicles), 2017","Traffic intensity (distance-weighted vehicles), 2016","Vacant (% of housing units), 2016-2020","Vacant (% of housing units), 2015-2019","Vacant (% of housing units), 2014-2018","Vacant (% of housing units), 2013-2017","Vacant (% of housing units), 2012-2016","Vacant (% of housing units), 2011-2015","Vacant (% of housing units), 2010-2014"
Community area,Rogers Park,1,-87.67017100,42.00963000,444.675036896848,432.612003510251,15.7526485861263,15.7117885171004,15.6189171559502,9.59152157331094,10.6382482004574,12.6911620013845,13.2117622039359,12.3838398326114,13.8297141729273,14.5403766241934
Community area,Norwood Park,10,-87.80345100,41.98524800,1500.05852084215,1485.72089971871,1146.23655210503,1115.05451857639,1188.45811796942,3.7602200107904,4.35432513032787,5.35269630066888,6.33841152432907,7.67750331532647,8.67433597436449,8.26995087820774
Community area,Jefferson Park,11,-87.77116500,41.97883600,1905.76545206757,1917.24746520248,1482.84723774627,1471.21365752395,1456.5054276146,8.08238506552974,7.92739376926656,7.09851031923438,7.46596426641658,7.00888222727128,7.26486363440337,7.75992886980264
Community area,Forest Glen,12,-87.75835800,41.99393800,1927.45550747955,1919.74265744983,1873.14531285702,1837.72475979824,1830.56975160347,2.38387021620624,4.11510077162596,3.39947268068282,6.37200303733032,7.02264991682831,7.15623295558446,6.57054690709805
Community area,North Park,13,-87.72357800,41.98365100,473.696753060702,463.655017690316,263.740877884471,249.791549517116,248.445822230811,8.47195409174753,6.04790789525856,6.20264014401035,5.92851378288602,6.89730880305088,5.7675729922983,8.04649411680541
Community area,Albany Park,14,-87.72155800,41.96807800,476.536509929277,462.667008176751,169.56008996406,154.481389071998,167.921546754089,7.95953663386025,7.71284365340175,8.99485882583225,8.44203084264654,8.27994771101856,8.62086113613871,8.02748759901627
Community area,Portage Park,15,-87.76340100,41.95404300,794.261271652258,823.357615610653,714.929223131477,684.166568562507,719.950087883449,9.00674140822108,10.3444891594783,9.99765023550322,9.17839293568781,8.61948840719837,8.77064783014943,9.34135177284908
Community area,Irving Park,16,-87.72345700,41.95358900,4838.59722182382,4953.22237401491,4089.05657836404,4181.1059445206,4033.44017181421,8.62009156207568,9.22243268073091,9.77779756503402,9.62283738348563,8.77499771723683,9.46132136825662,8.98849597566639
Community area,Dunning,17,-87.80601500,41.94652200,554.982153057244,560.554475830499,576.930491252176,569.034922050833,558.021882906742,5.75257314884024,6.44812953818897,6.16003611034123,6.27057761379712,6.23026943179815,6.69305293823835,6.59173841066359
Community area,Montclare,18,-87.79803300,41.92930600,252.313765695363,228.014016731594,224.524699922825,229.776952387839,230.456715296553,6.92825138881596,9.85107235899333,10.1323230103184,10.5290675850096,11.3321576427171,11.6172592643954,10.5548619167426
Community area,Belmont Cragin,19,-87.76550200,41.92727500,273.395860080378,269.464224817446,214.547274680694,210.688648059356,214.666795450625,7.47255328161025,8.78377046293812,8.961858828541,9.40987068571905,9.78833179654663,10.6040071881658,11.3127885129506
Community area,West Ridge,2,-87.69501700,42.00158300,611.37515081414,608.424038101868,388.627848270704,393.431592751068,389.583619830461,7.80968115292133,8.91837940606057,9.41374525928344,10.3589104532444,11.1245739621948,11.9972685562162,12.1699327311581
Community area,Hermosa,20,-87.73474100,41.92435300,159.979318623292,160.40433500662,47.5737853694528,48.7530479185118,48.4829095304612,8.53079297170836,8.5140557508634,10.2298125218395,9.32656958291967,9.8619224541581,9.3921972699439,11.7069465390072
Community area,Avondale,21,-87.71121900,41.93867300,6318.37093815389,6409.76274997881,5467.33767576024,5455.75399260878,5476.33975748596,10.6238925052807,10.6003883924322,11.6854944392972,11.3150447197934,10.5150578416982,10.4489381064383,10.3747731085126
Community area,Logan Square,22,-87.69914900,41.92276800,4466.25251918772,4490.82780377712,3786.74590105948,3782.78451022232,3824.47199952261,8.34358330007731,9.7826647601616,9.86605174830201,10.2127824533948,10.3476086837522,10.2035322745838,9.76737654031701
Community area,Humboldt Park,23,-87.72091700,41.90008000,287.105143927246,287.120275328499,232.569230082364,230.835451672749,227.922966012663,10.7870802654879,11.2523162501856,12.8204686177219,13.823212354109,14.7805788587835,15.2983005237798,15.6786987456506
Community area,West Town,24,-87.67635800,41.90121600,4905.05093077126,4766.06142960148,4187.61514256341,4223.02232665945,4226.65914414677,7.64333071225277,8.65134376981315,9.51101650927102,9.09218445974035,8.75573244320675,7.98602075512759,8.60544472138106
Community area,Austin,25,-87.76311700,41.89411300,1297.48321916627,1278.8518457992,1173.36844580866,1162.88459187279,1160.88848381767,13.0465835116108,13.4169995691094,13.8729516873648,14.00282977145,12.2166126449797,13.1318384279703,13.2787349013333
Community area,West Garfield Park,26,-87.73023300,41.87860200,3430.46957868057,3420.40812429659,2612.67049932,2622.38432976221,2611.51142927778,26.1548823552765,27.5480626036905,27.2779373556891,27.9855111368158,28.7747347435397,29.3051368490163,29.5681099060487
Community area,East Garfield Park,27,-87.70589200,41.87892300,3312.34507408695,3331.9746237001,3009.84296773048,3025.85084369056,3003.08005763338,17.0214853665515,18.5284196270395,19.4207531084448,17.6432075527173,16.8836637906285,16.8033118587173,19.7982528388283
Community area,Near West Side,28,-87.66351300,41.87401600,5436.02847741801,5401.12963058891,4646.61611448414,4618.22461733373,4660.47272470782,10.708734829504,10.8953557513753,9.97662085974124,8.89422189783976,8.31835415544985,8.99407229342999,10.070612391627
Community area,North Lawndale,29,-87.71721800,41.86019700,480.304141738048,480.329280524239,326.120863260176,318.789981003373,330.543749594088,22.368111262057,24.5063981976885,23.5257003680611,23.6495130827032,23.7568325699033,24.9416366424848,24.5518931683339
Community area,Uptown,3,-87.65589900,41.96582200,1910.67554374201,1913.85468889212,1430.28293762899,1425.68240614676,1446.71029715936,7.33472253258443,8.9952049413291,10.6611047612276,10.140483524626,10.52100870343,9.4856221228047,9.29464462199229
Community area,South Lawndale,30,-87.71400000,41.83909100,182.846599898898,182.94848555511,69.1265331785674,71.4513074461231,69.9302195595379,11.2144195405946,12.8885652846839,12.7270340358363,14.6910040346596,15.8678888998144,16.245350714212,17.4816880236306
Community area,Lower West Side,31,-87.66757000,41.85027700,1295.70599167447,1322.8071871678,1084.71583564073,1113.90604313287,1097.671088808,10.1208923224731,10.7750423103364,13.4716090036562,15.4899690316397,16.786212456048,17.2952986792948,17.6301627186341
Community area,Loop,32,-87.62519400,41.87888100,5180.95362072607,5205.83281703795,4370.1197220197,4306.15113687808,4351.38090742109,14.3379269018936,19.865968648167,18.9940147303166,18.8174010113794,19.2546271111131,18.9515598780261,22.0558072238672
Community area,Near South Side,33,-87.62034400,41.85719600,3442.23028863507,3410.87521436756,2871.55263795527,2876.56362449363,2868.56932764869,3.14634010948284,5.12911424662869,7.05623549073543,8.79705375100855,9.29199622867241,12.1506849559958,13.9228624169867
